标题,播放量,点赞数,收藏数,弹幕数,投币数,评论数,分享数,分区,UP主,视频时长(秒),发布时间,发布日期,发布小时,分区大类,标题长度,是否周末,发布时段
寻找卢本伟,3390465.0,350882.0,110466.0,41622.62000000002,227144.0,15590.0,94078.83000000013,预告·资讯,STN工作室,1974.0,2026-07-16 11:00:00,2026-07-16,11,知识/资讯,5,工作日,早间(6-11)
魔怔萌二和暴躁粗鲁女的相亲历险记,2318869.0,123038.0,11264.0,4032.0,4059.0,3331.0,10797.0,搞笑,陈嘉伦整个路人,248.0,2026-07-15 21:59:00,2026-07-15,21,娱乐,16,工作日,晚间(18-23)
《阴阳师》不相狐禅CG丨洪狐天运（CV：立花慎之介）,743984.0,28801.0,13885.0,991.0,15654.0,1868.0,4685.0,手机游戏,网易阴阳师手游,216.0,2026-07-16 15:45:00,2026-07-16,15,游戏,26,工作日,午间(12-17)
【独家】《将夜》第14集 努力读书【4月国创】,639577.0,9310.0,1146.0,1782.0,9039.0,342.0,80.0,国产动画,哔哩哔哩国创,1250.0,2026-07-16 11:00:00,2026-07-16,11,动画/二次元,23,工作日,早间(6-11)
路边摊吃盒饭 吃成摊主,4159035.0,407802.0,47918.0,3451.0,220670.0,6989.0,8269.0,运动综合,马李澳到处钓,443.0,2026-07-15 11:30:00,2026-07-15,11,知识/资讯,11,工作日,早间(6-11)
我把你们奇怪的想法都做到了我的世界里#14,1577951.0,145402.0,34111.0,3303.0,10251.0,1973.0,7630.0,单机游戏,老丹Daniel,534.0,2026-07-15 22:12:00,2026-07-15,22,游戏,21,工作日,晚间(18-23)
《崩坏：星穹铁道》EP：「下一站」,905237.0,141291.0,59885.0,11433.0,104765.0,14862.0,15468.0,手机游戏,崩坏星穹铁道,232.0,2026-07-16 12:00:00,2026-07-16,12,游戏,17,工作日,午间(12-17)
【TF家族练习生】《全世界陪我出发》练习室版,197856.0,19318.0,6970.0,34736.0,2474.0,1833.0,2076.0,明星综合,TF家族,194.0,2026-07-16 20:00:00,2026-07-16,20,娱乐,22,工作日,晚间(18-23)
小倩回来了——22年后，在《天下》里,1317180.0,8832.0,2113.0,485.0,1503.0,1519.0,655.0,影视剪辑,天下3官方,139.0,2026-07-16 10:00:00,2026-07-16,10,知识/资讯,18,工作日,早间(6-11)
足坛真神TOP：凯恩！离开世界杯！他是这个时代最全面的中锋！,714000.0,18823.0,6315.0,1663.0,6406.0,2997.0,2337.0,足球,足球故事-李治霖,1869.0,2026-07-16 09:20:00,2026-07-16,9,知识/资讯,30,工作日,早间(6-11)
耗时9999小时！一口气看完熊出没末路大合集！,3597994.0,282352.0,307343.4700000001,14847.0,62151.0,3720.0,10136.0,综合,等到雪花开,5479.0,2026-07-14 08:33:00,2026-07-14,8,其他,23,工作日,早间(6-11)
郝 哥 连 线 勇 哥,6070219.0,363353.0,63371.0,4655.0,66396.0,9423.0,47793.0,鬼畜剧场,新世纪咖啡战士v,251.0,2026-07-15 08:58:00,2026-07-15,8,动画/二次元,11,工作日,早间(6-11)
《洛克王国：世界》远哥来了，福利稳了！,2242615.0,77785.0,6440.0,765.0,3325.0,1804.0,5017.0,网络游戏,洛克王国世界,201.0,2026-07-16 09:45:00,2026-07-16,9,游戏,19,工作日,早间(6-11)
《兄弟有个妹妹》3,2766815.0,214075.0,14968.0,659.0,1712.0,1142.0,2022.0,搞笑,韩波格_,88.0,2026-07-15 18:07:00,2026-07-15,18,娱乐,9,工作日,晚间(18-23)
原摄玩家镜头下，你未曾见过的桑多涅......,805622.0,134267.0,24810.0,690.0,10808.0,779.0,3115.0,手机游戏,小白不留行,161.0,2026-07-15 23:10:00,2026-07-15,23,游戏,23,工作日,晚间(18-23)
The Verity Cast Plays The REAL Verity Mod,847864.0,110991.0,41241.0,25858.0,35262.0,12240.0,3448.0,单机游戏,ThatMobTeam,1169.0,2026-07-16 01:37:00,2026-07-16,1,游戏,41,工作日,凌晨(0-5)
摊牌吧，你家里有矿！,416947.0,22211.0,4080.0,1131.0,3806.0,626.0,515.0,科学科普,星球研究所,649.0,2026-07-16 11:03:00,2026-07-16,11,知识/资讯,10,工作日,早间(6-11)
我宁愿在这个世界里，永远做一个你“尚未到来”的传说,3048161.0,232990.0,47760.0,4173.0,5912.0,9960.0,2800.0,综合,魔女日奈,136.0,2026-07-14 20:11:00,2026-07-14,20,其他,25,工作日,晚间(18-23)
百万英镑，但是过于嚣张,628635.0,59674.0,16147.0,788.0,2642.0,1473.0,6177.0,影视剪辑,梨柚皮,159.0,2026-07-15 17:03:00,2026-07-15,17,知识/资讯,11,工作日,午间(12-17)
矿石战争重制版一口气看完大合集,5357315.0,105334.0,90240.0,11408.0,15933.0,3142.0,9501.0,手机游戏,汤圆MC,2198.0,2026-07-12 15:46:00,2026-07-12,15,游戏,15,周末,午间(12-17)
哭着剪完这条视频…,4399911.0,376121.0,128881.0,3079.0,259626.62000000008,9565.0,3380.0,网络游戏,陈玉sama,512.0,2026-07-13 23:46:00,2026-07-13,23,游戏,9,工作日,晚间(18-23)
吃肉容易早衰，喝米油不哭不闹？,946356.0,62823.0,3268.0,930.0,7102.0,2337.0,318.0,亲子,一个被老婆磨平的90后,163.0,2026-07-15 20:50:00,2026-07-15,20,生活,15,工作日,晚间(18-23)
世 纪 辐 射【上】,218559.0,15914.0,7297.0,3928.0,15046.0,919.0,2655.0,日常,食贫道,7070.650000000004,2026-07-16 18:00:00,2026-07-16,18,生活,10,工作日,晚间(18-23)
⚡️来个耄耋叫一叫⚡️～,1249967.0,120361.0,30575.0,293.0,6704.0,4745.0,27969.0,汪星人,酸奶煎个蛋,55.0,2026-07-15 19:17:00,2026-07-15,19,其他,12,工作日,晚间(18-23)
特厨探店|小区和菜市场中间？很难不好吃的—老兵私房菜,701565.0,62868.0,5400.0,1180.0,4048.0,1734.0,2725.0,美食侦探,特厨隋坡,331.0,2026-07-16 11:34:00,2026-07-16,11,生活,26,工作日,早间(6-11)
【幼稚园TV】建材王哥大闹天宫,2165281.0,202324.0,19097.0,3432.0,6011.0,3277.0,9547.0,小剧场,大乾乾是顾乾宇,181.0,2026-07-15 17:07:00,2026-07-15,17,动画/二次元,15,工作日,午间(12-17)
【终末地】1.4最好抄毕业基建！气体自动平衡，爆仓自动处理！,183365.0,10482.0,7957.0,262.0,6903.0,1654.0,1902.0,单机游戏,MR流星飞,703.0,2026-07-16 18:07:00,2026-07-16,18,游戏,30,工作日,晚间(18-23)
cos金克丝把音响藏在1.5m鲨鱼炮里让路人看管，然后大声放迪迪都兜？！,288025.0,37213.0,1940.0,66.52,1266.0,56.33,47.75,日常,林带鱼w,137.0,2026-07-15 18:00:00,2026-07-15,18,生活,36,工作日,晚间(18-23)
软烂脱骨嫩到离谱的美式烤肉,1015612.0,88226.0,15912.0,919.0,1931.0,2952.0,5571.0,美食记录,铁蛋儿Tyler,257.0,2026-07-15 16:00:00,2026-07-15,16,生活,13,工作日,午间(12-17)
这下真的能住了哈,4648328.0,250284.0,21778.0,3426.0,4714.0,8493.0,6926.0,家居房产,小熊猫租房,77.0,2026-07-12 16:43:00,2026-07-12,16,生活,8,周末,午间(12-17)
如何正确安慰兄弟,453707.0,77908.0,50439.0,352.0,7455.0,1781.0,11600.0,搞笑,cheems小电影,69.0,2026-07-15 17:14:00,2026-07-15,17,娱乐,8,工作日,午间(12-17)
破冰挑战！3小时摆摊PK，赚得多的获胜！！,1902160.0,100285.0,10159.0,3310.0,11847.0,913.0,707.0,日常,雨哥到处跑,1517.0,2026-07-15 18:46:00,2026-07-15,18,生活,21,工作日,晚间(18-23)
疑似女地偶被老普夺舍？,258768.0,67080.0,11820.0,325.0,6518.0,913.0,1098.0,综合,渡眸也,47.0,2026-07-16 11:21:00,2026-07-16,11,其他,11,工作日,早间(6-11)
“新人看不懂鬼畜区的遗憾”,147682.0,36292.0,10910.0,860.0,5842.0,1120.0,850.0,人力VOCALOID,惜缘、过去,115.0,2026-07-16 11:30:00,2026-07-16,11,娱乐,13,工作日,早间(6-11)
当二次元摄影第一次尝试拍星空…,572384.0,102583.0,16053.0,136.0,1484.0,1278.0,2197.0,日常,葉月Hatsuki,30.28,2026-07-15 17:31:00,2026-07-15,17,生活,15,工作日,午间(12-17)
回 旋 彪,2679875.0,134608.0,35653.0,4843.0,90891.0,4091.0,15976.0,影视剪辑,_青红造了个白_,945.0,2026-07-14 12:11:00,2026-07-14,12,知识/资讯,5,工作日,午间(12-17)
这都能还原！！？【MC姬子篇】,1004800.0,120002.0,47735.0,1157.0,36648.0,669.0,1668.0,单机游戏,FoFTG,163.0,2026-07-15 11:50:00,2026-07-15,11,游戏,15,工作日,早间(6-11)
不要眨眼！黄色的蜂蜜倒进碗里，竟然变绿了？？,519190.0,57008.0,7123.0,1996.0,10552.0,2035.0,683.0,科学科普,毕的二阶导,224.0,2026-07-16 11:00:00,2026-07-16,11,知识/资讯,22,工作日,早间(6-11)
搞强拆能惹多大祸？【奇葩小国53】,1989517.0,156218.0,38573.0,14606.0,61732.0,6112.0,3837.0,人文历史,小约翰可汗,2337.0,2026-07-15 11:00:00,2026-07-15,11,知识/资讯,17,工作日,早间(6-11)
如何正确安慰兄弟,6288383.0,477155.0100000002,307343.4700000001,2803.0,112376.0,21340.190000000017,94078.83000000013,搞笑,cheems小电影,66.0,2026-07-13 17:04:00,2026-07-13,17,娱乐,8,工作日,午间(12-17)
胜负已分,973054.0,98156.0,45781.0,430.0,4394.0,1000.0,3863.0,影视剪辑,Qinalove,223.0,2026-07-15 09:47:00,2026-07-15,9,知识/资讯,4,工作日,早间(6-11)
《 漫 展 绷 住 挑 战 😂 》,72417.86,8755.0,3072.0,73.0,1091.0,62.0,8725.0,仿妆cos,流萤Zz,225.0,2026-07-16 17:28:00,2026-07-16,17,生活,17,工作日,午间(12-17)
